treatment_company,azimuth,md_ft,tvd_ft,date_on_production,operator,footage_lateral_length,well_spacing,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,porosity,poisson_ratio,water_saturation,toc,vcl,p_velocity,s_velocity,youngs_modulus,isip,breakdown_pressure,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production,difference_in_days,difference_in_weeks,difference_in_years
treatment_company_12,-31.860001,14546,8500.0,2013-07-01,operator_9,5697.0,777.98065,1.54,14,0,35063.55,1.0,,0.29,,4.4,0.71,11866.83,7088.92,31.96,6368.0,9730.0,91,20,7595229.0,1.14,1231.093841,3883,554.7142857142857,10.638356164383561
treatment_company_1,-36.959999,22485,7219.0,2018-09-01,operator_11,14653.0,,11.72,9,0,29782.73,0.65,0.04,0.33,,4.62,0.37,12884.45,7160.45,31.58,,6407.0,70,73,21968912.0,0.89,2443.048341,1995,285.0,5.465753424657534
treatment_company_2,-44.509998,14492,6334.0,2016-03-01,operator_7,7962.0,1973.0684,17.58,21,12400,35351.96,0.26,0.02,0.33,0.8,4.58,0.57,13273.95,6900.74,30.76,4117.0,,96,42,12369768.0,1.21,1190.884135,2909,415.57142857142856,7.96986301369863
treatment_company_1,-22.58,19834,6526.0,2018-12-01,operator_5,13058.0,,5.38,8,7716,29441.48,0.62,0.01,0.34,0.87,4.91,0.44,13478.62,6953.4,30.86,3616.0,5766.0,75,65,23284648.0,1.12,3187.190755,1904,272.0,5.2164383561643834
treatment_company_10,-40.119999,14870,7820.0,2017-08-01,operator_4,6800.0,,75.54,1,0,34590.42,0.21,0.03,0.34,0.86,4.43,0.53,13369.16,6844.17,30.58,5233.0,9356.0,100,35,15323834.0,1.47,3824.778591,2391,341.57142857142856,6.550684931506849
treatment_company_5,-2.3299999,17658,7631.0,2014-01-01,operator_8,9024.0,820.06085,10.76,9,2649,34667.33,1.23,0.04,0.32,0.82,4.8,0.95,12583.18,7456.22,32.85,5844.0,,88,63,15461369.0,0.94,1669.353094,3699,528.4285714285714,10.134246575342466
treatment_company_5,-55.189999,18941,6099.0,2018-06-01,operator_11,12276.0,,21.1,14,0,34777.93,0.47,0.02,0.33,,4.68,0.59,13214.46,7040.7,31.16,4598.0,6212.0,69,59,17719706.0,1.1,2913.252743,2087,298.14285714285717,5.717808219178083
treatment_company_7,-4.6700001,13080,8941.0,2013-07-01,operator_11,3545.0,,2.96,18,10154,34804.16,0.18,0.02,0.26,,4.62,0.74,11849.77,7096.77,31.24,6678.0,,69,10,2977836.0,2.01,925.7441562,3883,554.7142857142857,10.638356164383561
treatment_company_11,,15760,8158.0,2014-07-01,operator_6,7221.0,4116.0757,289.05,1,3416,34470.52,1.28,0.07,0.22,,4.03,0.66,11993.24,6807.19,27.44,4746.0,8796.0,86,10,8533084.0,1.14,3079.750629,3518,502.57142857142856,9.638356164383561
treatment_company_6,,10650,7400.0,2014-08-01,operator_14,2777.0,2465.4636,3.07,24,10763,33220.05,0.1,0.02,0.23,,4.22,0.59,11283.8,6790.58,27.85,5716.0,,80,22,,1.07,2171.18261,3487,498.14285714285717,9.553424657534247
treatment_company_10,-13.62,14135,7590.0,2018-03-01,operator_6,6215.0,1237.7744,38.76,20,8088,35192.75,0.1,0.01,0.23,,3.3,0.63,11200.75,6795.88,28.04,5630.0,,90,26,10194239.0,1.96,3292.077537,2179,311.2857142857143,5.96986301369863
treatment_company_13,,11839,5559.0,2012-07-01,operator_15,6077.0,3855.7927,146.49,1,2347,32818.92,0.43,0.02,0.33,0.86,4.68,0.59,13202.61,7034.19,31.14,,,74,17,1318492.0,0.57,534.5528106,4248,606.8571428571429,11.638356164383561
treatment_company_10,-43.779999,12670,7659.0,2015-08-01,operator_11,4470.0,841.604,3.66,9,2161,34789.16,0.52,,0.33,0.85,4.63,0.5,12901.65,7121.76,31.5,4656.0,6358.0,70,22,4423479.0,0.88,1462.232381,3122,446.0,8.553424657534247
treatment_company_8,-48.919998,15961,8119.0,2015-03-01,operator_12,7012.0,4978.5923,0.43,8,0,30376.98,0.68,0.02,0.33,,5.08,0.4,13595.4,6955.35,30.83,6333.0,7759.0,84,36,14295919.0,1.29,1723.793404,3275,467.85714285714283,8.972602739726028
treatment_company_7,-36.349998,11290,6626.0,2014-01-01,operator_1,4293.0,1015.5507,16.09,11,0,30817.05,0.59,0.02,0.21,0.7,4.54,0.47,13480.95,6797.26,26.28,4298.0,,97,14,6906454.0,1.29,1326.884187,3699,528.4285714285714,10.134246575342466
treatment_company_12,-27.059999,13250,7461.0,2013-01-01,operator_7,4965.0,,6.11,15,0,34599.59,1.61,0.13,0.2,0.43,5.17,0.8,12014.55,7133.44,29.61,5618.0,,87,18,11937619.0,1.88,1368.45693,4064,580.5714285714286,11.134246575342466
treatment_company_2,-42.77,15257,5985.0,2016-01-01,operator_7,8635.0,3918.0396,2.99,3,3474,35375.84,0.46,0.02,0.34,0.88,4.67,0.59,13207.6,7038.37,31.16,4391.0,,96,45,12346968.0,1.14,615.8663271,2969,424.14285714285717,8.134246575342466
treatment_company_1,-40.689999,19950,6495.0,2018-06-01,operator_1,13087.0,,2.88,5,0,35056.46,0.26,0.01,0.33,,4.82,0.53,13532.06,7016.04,30.97,4639.0,,99,65,17760768.0,1.25,2221.984788,2087,298.14285714285717,5.717808219178083
treatment_company_10,-40.669998,18485,7348.0,2017-11-01,operator_11,10887.0,4501.5898,217.63,1,0,30319.59,0.55,0.03,0.33,,4.58,0.49,13018.73,7104.16,31.39,5357.0,,70,53,10538626.0,0.87,2148.586768,2299,328.42857142857144,6.298630136986302
treatment_company_14,-57.970001,13602,7664.0,2016-05-01,operator_4,5045.0,1310.5488,2.73,8,0,34653.08,0.34,0.03,0.33,,4.64,0.63,12985.89,7053.9,31.3,5285.0,,89,31,7526310.0,0.9,2147.721324,2848,406.85714285714283,7.802739726027397
treatment_company_5,-62.529999,10720,7519.0,2013-07-01,operator_8,2783.0,746.64252,49.24,4,3083,31172.16,0.43,0.02,0.33,,4.67,0.59,13197.45,7032.27,31.14,5509.0,,84,18,,0.75,411.2655142,3883,554.7142857142857,10.638356164383561
treatment_company_4,-46.91,14535,6401.0,2017-07-01,operator_7,7822.0,2213.3115,22.36,5,4491,34775.43,0.67,0.03,0.27,1.0,5.2,0.07,13046.09,7045.17,29.3,4155.0,5399.0,95,34,9105323.0,1.21,1063.619892,2422,346.0,6.635616438356164
treatment_company_10,-42.790001,15610,6602.0,2017-09-01,operator_4,8758.0,3844.8215,31.28,16,8555,35579.35,0.47,0.02,0.33,,4.64,0.57,13160.76,7056.25,31.21,4477.0,,100,53,13183743.0,1.04,1507.253422,2360,337.14285714285717,6.465753424657534
treatment_company_3,-52.349998,11304,6589.0,2017-04-01,operator_1,4390.0,1173.7072,19.31,15,6667,32769.21,1.16,0.06,0.3,,4.97,0.44,12645.83,6761.8,28.31,5188.0,,96,21,,1.35,2790.282309,2513,359.0,6.884931506849315
