treatment_company,azimuth,md_ft,tvd_ft,date_on_production,operator,footage_lateral_length,well_spacing,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,porosity,poisson_ratio,water_saturation,toc,vcl,p_velocity,s_velocity,youngs_modulus,isip,breakdown_pressure,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production,difference_in_days,difference_in_weeks,difference_in_years
treatment_company_10,-16.35,10195,6685.0,2018-04-01,operator_4,3260.0,810.07605,11.16,7,4183,29028.88,0.45,0.02,0.33,,4.72,0.58,13284.4,7002.64,31.05,3433.0,,94,17,,1.28,687.0757836,2148,306.85714285714283,5.884931506849315
treatment_company_9,-36.07,24912,6468.0,2018-08-01,operator_11,18208.0,505.91956,104.71,1,0,35056.46,0.29,0.02,0.33,,4.68,0.63,13203.24,6983.49,31.02,4222.0,,84,91,27453790.0,0.88,3207.420275,2026,289.42857142857144,5.550684931506849
treatment_company_4,-63.150002,13721,6664.0,2016-06-01,operator_4,3623.0,1145.7778,141.51,1,0,35153.19,0.53,0.01,0.33,0.86,4.78,0.41,13451.61,6934.0,30.82,4357.0,,101,22,5549000.0,0.97,991.8168128,2817,402.42857142857144,7.717808219178083
treatment_company_7,-27.25,13440,8870.0,2012-04-01,operator_11,4255.0,3615.9873,43.3,5,0,34599.59,0.94,0.05,0.29,,4.27,0.7,11814.56,7090.58,31.82,,,70,15,1744237.0,0.53,856.517094,4339,619.8571428571429,11.887671232876713
treatment_company_10,-42.68,9152,6154.0,2012-01-01,operator_11,2770.0,938.38153,83.33,3,2766,34111.39,0.26,0.02,0.33,0.88,4.68,0.61,13255.17,6953.57,30.92,3936.0,5946.0,69,9,2781614.0,1.13,247.5099139,4430,632.8571428571429,12.136986301369863
treatment_company_10,-47.709999,10232,6423.0,2013-07-01,operator_11,3504.0,3738.7791,0.18,11,5488,35190.53,0.41,0.02,0.33,,4.78,0.6,13238.79,7142.58,31.35,4333.0,,70,17,8349601.0,1.15,679.6426083,3883,554.7142857142857,10.638356164383561
treatment_company_5,-20.74,12300,7565.0,2011-07-01,operator_8,4305.0,3011.3789,12.81,6,9144,31757.82,1.24,0.04,0.32,,4.91,0.97,12591.21,7452.63,32.83,5643.0,,86,15,2121223.0,0.38,958.5347519,4614,659.1428571428571,12.64109589041096
treatment_company_16,,14600,7283.0,2012-07-01,operator_14,6586.0,2370.5276,5.22,5,3519,35012.49,0.1,0.02,0.25,0.95,3.77,0.62,11137.39,6786.47,28.24,,7231.0,80,35,13298793.0,1.06,8444.751759,4248,606.8571428571429,11.638356164383561
treatment_company_1,-24.9,15114,6434.0,2017-04-01,operator_5,8323.0,1953.6724,8.85,9,2971,28589.71,0.26,0.01,0.34,,4.68,0.62,13263.35,6960.29,30.94,,,78,42,21264292.0,1.12,2753.767962,2513,359.0,6.884931506849315
treatment_company_8,-29.51,12860,6249.0,2014-04-01,operator_1,6227.0,1042.677,1.69,13,0,34679.94,0.21,0.01,0.33,0.91,4.88,0.49,13429.59,7097.51,31.18,4487.0,,82,22,11285435.0,1.14,768.2413008,3609,515.5714285714286,9.887671232876713
treatment_company_8,-47.34,10912,6067.0,2012-01-01,operator_6,4575.0,1718.3086,11.35,15,0,34642.75,0.06,0.02,0.33,,4.61,0.73,13170.64,6895.76,30.78,5047.0,,67,13,5676000.0,1.22,369.4334119,4430,632.8571428571429,12.136986301369863
treatment_company_3,-36.630001,12532,5981.0,2018-06-01,operator_1,5993.0,732.5921,4.66,15,0,32361.66,0.21,0.01,0.33,,4.85,0.33,13349.26,7157.38,31.34,4698.0,,90,43,21534356.0,1.85,1402.93369,2087,298.14285714285717,5.717808219178083
treatment_company_3,-57.77,15020,6266.0,2017-08-01,operator_8,8247.0,1190.3782,0.72,2,2825,34261.43,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,,5538.0,90,42,16568523.0,1.22,1504.99761,2391,341.57142857142856,6.550684931506849
treatment_company_2,-33.290001,18895,8044.0,2015-06-01,operator_6,10601.0,1552.6783,123.83,1,0,30469.83,0.94,0.07,0.21,0.84,3.2,0.46,11661.99,6810.27,27.94,5832.0,,87,47,18847346.0,1.37,3699.152561,3183,454.7142857142857,8.72054794520548
treatment_company_1,,14855,8105.0,2013-01-01,operator_20,6064.0,736.02026,314.32,8,8930,34765.36,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,5321.0,,84,11,5650875.0,1.48,1237.400263,4064,580.5714285714286,11.134246575342466
treatment_company_1,-36.860001,18189,6585.0,2017-10-01,operator_5,10942.0,689.04767,14.78,22,12274,34708.68,1.24,,0.34,,3.75,1.8,12457.46,6553.04,29.91,3784.0,,76,54,8533380.0,0.39,2158.870388,2330,332.85714285714283,6.383561643835616
treatment_company_1,-27.02,14080,6956.0,2016-12-01,operator_8,6426.0,,1.94,20,7096,33828.42,0.47,0.02,0.33,,4.66,0.58,13184.96,7049.93,31.19,4658.0,,86,29,11559831.0,0.76,1666.91744,2634,376.2857142857143,7.2164383561643834
treatment_company_5,-39.990002,16524,,2018-08-01,operator_11,10038.0,3882.4041,25.52,9,0,35074.06,0.34,0.02,0.33,0.82,4.65,0.59,13166.69,7032.5,31.15,4103.0,5980.0,70,51,15192747.0,0.91,1795.389404,2026,289.42857142857144,5.550684931506849
treatment_company_16,-27.200001,11811,6241.0,2014-07-01,operator_14,5219.0,3202.1626,27.92,3,0,34776.92,0.36,0.03,0.25,0.86,5.15,0.53,12369.97,6781.48,27.38,4837.0,,80,30,11457679.0,1.05,2554.089467,3518,502.57142857142856,9.638356164383561
treatment_company_8,-45.799999,9473,5648.0,2016-01-01,operator_30,3292.0,1783.9043,20.42,7,1746,34879.27,0.59,0.02,0.33,0.83,4.56,0.31,13507.64,6877.28,30.66,4485.0,,87,22,6141882.0,1.27,565.7296862,2969,424.14285714285717,8.134246575342466
treatment_company_4,-50.650002,11723,6535.0,2013-01-01,operator_1,4592.0,2093.6353,19.33,9,6053,35438.36,0.58,0.02,0.21,,4.47,0.49,13536.45,6797.42,26.22,4730.0,,99,16,7486965.0,1.21,1555.761614,4064,580.5714285714286,11.134246575342466
treatment_company_12,-11.73,13390,8417.0,2014-01-01,operator_25,4843.0,940.29767,10.55,2,0,35084.51,1.38,0.09,0.21,0.67,3.87,0.49,12025.9,6821.91,27.83,5809.0,9356.0,90,24,11727563.0,1.18,3313.900726,3699,528.4285714285714,10.134246575342466
treatment_company_1,-17.52,14921,6375.0,2016-10-01,operator_2,8341.0,4777.8975,146.95,0,0,29774.6,1.41,,0.19,0.44,6.41,0.53,11950.22,7018.34,28.23,5045.0,,86,23,13789190.0,1.42,1806.092276,2695,385.0,7.383561643835616
treatment_company_10,-28.26,10370,6525.0,2011-07-01,operator_11,3636.0,2263.1262,17.1,5,5212,29736.88,0.26,0.02,0.33,,4.68,0.61,13255.17,6953.57,30.92,,,69,11,3531429.0,0.94,715.1025636,4614,659.1428571428571,12.64109589041096
treatment_company_3,-34.740002,14956,7300.0,2019-03-01,operator_8,6877.0,,9.15,12,5082,33696.46,0.31,0.02,0.33,0.8,4.66,0.61,13182.77,7015.94,31.11,5112.0,8947.0,80,34,16646094.0,1.47,2469.849333,1814,259.14285714285717,4.96986301369863
treatment_company_12,-14.26,13866,8628.0,2013-07-01,operator_9,4922.0,707.3999,4.32,4,2505,34727.69,0.9,0.05,0.29,,4.36,0.48,11683.91,7070.63,31.7,6078.0,,91,18,7014641.0,1.29,607.2159774,3883,554.7142857142857,10.638356164383561
treatment_company_24,-32.07,16832,7494.0,2018-10-01,operator_4,8986.0,3921.3306,3.96,9,0,29404.23,0.35,0.02,0.33,,4.68,0.61,13203.94,7003.34,31.06,5785.0,,86,45,20005626.0,1.28,2677.527552,1965,280.7142857142857,5.383561643835616
treatment_company_6,-57.84,11229,7402.0,2014-07-01,operator_14,2691.0,1566.9513,32.85,11,0,35293.43,0.1,0.02,0.24,,4.22,0.59,11277.18,6790.23,27.87,5674.0,7053.0,80,16,6129300.0,1.08,1690.709877,3518,502.57142857142856,9.638356164383561
treatment_company_4,-11.28,11380,6655.0,2016-01-01,operator_4,3952.0,4159.9019,24.07,6,534,35185.86,0.54,0.02,0.33,,4.44,0.25,13493.47,6853.18,30.59,4371.0,7625.0,98,27,6794225.0,0.98,1053.833259,2969,424.14285714285717,8.134246575342466
treatment_company_1,-0.19,11623,5944.0,2015-12-01,operator_1,5256.0,1386.7273,6.63,10,6433,33757.01,0.35,0.02,0.33,,4.65,0.6,13164.73,7033.62,31.16,3927.0,,100,10,10066260.0,1.83,1039.036555,3000,428.57142857142856,8.219178082191782
treatment_company_12,0.80000001,12286,8279.0,2018-08-01,operator_25,3327.0,,16.71,22,8267,33164.9,1.74,0.08,0.25,,3.91,0.6,11468.38,6876.92,28.48,5862.0,8769.0,92,19,8372293.0,1.52,1481.044527,2026,289.42857142857144,5.550684931506849
treatment_company_12,-31.360001,19966,7852.0,2018-06-01,operator_4,11488.0,4029.6738,3.25,20,11182,32152.96,0.17,0.03,0.33,,4.85,0.87,12869.52,6990.64,31.31,4724.0,,99,41,15598040.0,1.33,4153.992822,2087,298.14285714285717,5.717808219178083
treatment_company_9,-17.639999,16070,8395.0,2015-05-01,operator_11,7225.0,2996.8362,39.83,11,8248,34771.54,0.88,0.05,0.28,,4.55,0.77,11821.01,7093.07,31.67,6567.0,,71,41,4680448.0,1.02,1597.517198,3214,459.14285714285717,8.805479452054794
treatment_company_9,-15.05,14070,7196.0,2015-01-01,operator_5,6461.0,2661.1072,33.34,8,460,35326.04,1.24,0.06,0.34,0.43,4.09,1.79,12377.43,6475.42,,5255.0,5550.0,64,33,7864450.0,0.9,2066.506458,3334,476.2857142857143,9.134246575342466
treatment_company_3,-49.860001,18867,6361.0,2018-10-01,operator_1,11415.0,1154.8275,0.19,9,5536,34589.69,0.29,0.02,0.34,0.8,4.68,0.63,13203.24,6983.49,31.02,4761.0,,88,64,23425792.0,1.31,5038.05816,1965,280.7142857142857,5.383561643835616
treatment_company_8,-17.290001,14515,6210.0,2012-04-01,operator_6,7712.0,558.9032,18.9,19,9558,35025.42,0.3,0.02,0.24,0.87,5.11,0.38,12666.11,6785.05,27.15,4114.0,,72,13,9226919.0,1.28,1196.98619,4339,619.8571428571429,11.887671232876713
treatment_company_25,3.3699999,19590,6932.0,2017-12-01,operator_4,10410.0,4134.7451,9.13,5,2191,29198.18,1.41,0.05,0.2,0.8,5.17,0.65,12748.89,7064.66,29.37,5407.0,,94,32,12817632.0,1.12,1857.675072,2269,324.14285714285717,6.2164383561643834
treatment_company_10,-50.150002,13225,6260.0,2015-01-01,operator_11,6151.0,3535.8738,3.91,6,0,34617.29,0.59,0.02,0.34,,4.56,0.31,13507.64,6877.28,30.66,4539.0,,70,29,14233032.0,1.14,1009.916439,3334,476.2857142857143,9.134246575342466
treatment_company_1,-86.389999,13405,8028.0,2013-01-01,operator_26,4284.0,997.4184,264.87,1,0,31331.08,0.04,0.03,0.34,,4.62,0.79,13089.28,6883.41,30.76,5426.0,,99,10,3498780.0,0.86,1085.165502,4064,580.5714285714286,11.134246575342466
treatment_company_8,-28.610001,12028,8181.0,2012-01-01,operator_31,3335.0,2059.8062,110.43,3,0,34742.11,0.81,0.05,0.34,,,0.55,13187.04,7372.99,33.1,6577.0,,86,22,4121980.0,0.85,399.8391053,4430,632.8571428571429,12.136986301369863
treatment_company_24,-6.0599999,11601,5781.0,2018-09-01,operator_2,5469.0,1154.8553,1.51,20,0,34599.59,0.26,0.02,0.33,,4.68,0.61,13239.24,6958.72,30.94,4095.0,,91,20,9472652.0,2.17,929.8490335,1995,285.0,5.465753424657534
treatment_company_1,-39.639999,15093,6425.0,2017-11-01,operator_5,8132.0,1324.2133,1.39,6,4806,29605.94,0.5,0.02,0.33,,4.74,0.6,13275.54,7042.77,31.13,3091.0,6149.0,75,38,15464855.0,1.17,1745.396318,2299,328.42857142857144,6.298630136986302
treatment_company_9,-20.110001,14425,7071.0,2016-01-01,operator_16,7104.0,,6.29,8,6269,35143.87,1.06,0.05,0.34,0.51,3.82,1.64,12576.4,6568.39,29.92,4717.0,,75,34,6045033.0,0.63,2106.236789,2969,424.14285714285717,8.134246575342466
treatment_company_4,-41.84,12240,6648.0,2017-08-01,operator_14,5342.0,1515.0177,1.71,11,0,34582.87,0.14,0.02,0.24,,5.08,0.51,11884.85,6784.76,27.55,5197.0,,110,27,13516393.0,1.19,6737.666434,2391,341.57142857142856,6.550684931506849
treatment_company_10,-51.209999,16591,7600.0,2017-12-01,operator_11,8848.0,755.51239,1.51,18,0,35169.14,0.6,0.04,0.33,0.85,4.85,0.5,12683.25,7202.9,31.85,5651.0,6779.0,70,44,8807216.0,0.85,3578.857004,2269,324.14285714285717,6.2164383561643834
treatment_company_3,-26.68,16913,6455.0,2018-03-01,operator_5,10193.0,3046.6384,8.3,13,5518,32987.99,0.17,0.02,0.33,,4.48,0.52,13346.62,6855.51,30.61,3684.0,,76,52,25671304.0,1.08,3474.159355,2179,311.2857142857143,5.96986301369863
treatment_company_2,-31.82,15515,8262.0,2013-01-01,operator_20,6760.0,,25.54,7,2627,34833.46,0.62,,0.33,0.8,4.76,0.46,13487.45,6941.16,30.86,5236.0,7450.0,83,11,4117644.0,1.18,1323.963058,4064,580.5714285714286,11.134246575342466
treatment_company_1,-26.48,17671,6431.0,2018-08-01,operator_5,10887.0,2025.4263,41.29,9,5150,34167.78,1.4,0.05,0.34,0.58,3.61,1.84,12368.37,6546.45,29.92,3995.0,5323.0,77,55,21822590.0,1.01,2351.924399,2026,289.42857142857144,5.550684931506849
treatment_company_5,-40.369999,14432,7866.0,2012-07-01,operator_8,6165.0,738.44275,6.5,11,0,27560.55,0.53,0.01,0.34,0.86,4.75,0.42,13444.71,6925.42,30.8,5506.0,,71,19,,0.46,1052.004314,4248,606.8571428571429,11.638356164383561
treatment_company_16,,13735,7123.0,2015-01-01,operator_14,6362.0,1087.7366,16.16,6,5201,29237.25,1.02,,0.28,0.7,4.81,0.45,11699.89,6768.05,28.55,5205.0,,80,30,11432858.0,0.95,3226.084097,3334,476.2857142857143,9.134246575342466
treatment_company_9,-50.419998,12407,7238.0,2014-07-01,operator_14,4672.0,3016.9063,35.78,2,3071,34069.93,0.91,0.03,0.27,0.72,4.92,0.47,11470.5,6771.83,28.38,4989.0,,84,20,7256254.0,1.08,3481.344425,3518,502.57142857142856,9.638356164383561
treatment_company_10,-48.810001,10406,6859.0,2013-05-01,operator_11,2818.0,1937.2744,24.74,6,5072,33743.14,0.57,0.03,0.33,,4.65,0.56,13158.67,7120.98,31.35,,,69,12,,1.1,653.7166002,3944,563.4285714285714,10.805479452054794
treatment_company_12,-32.23,12023,6048.0,2013-07-01,operator_7,5597.0,,10.62,10,472,34661.95,0.31,0.01,0.3,0.89,4.68,0.62,13456.54,6916.17,30.79,4518.0,,90,37,7985190.0,1.06,1649.383242,3883,554.7142857142857,10.638356164383561
treatment_company_26,-18.75,11545,7146.0,2013-07-01,operator_14,3300.0,4444.5308,724.05,1,0,34661.95,0.14,0.02,0.24,,4.92,0.56,11517.73,6785.58,27.77,5557.0,6943.0,83,20,,1.12,4376.406178,3883,554.7142857142857,10.638356164383561
treatment_company_10,-30.08,11690,6566.0,2013-02-01,operator_11,3851.0,3174.8035,6.76,9,4298,35301.13,0.44,,0.33,,4.74,0.44,13178.65,7185.79,31.46,4157.0,5752.0,70,18,5045594.0,0.94,551.7167452,4033,576.1428571428571,11.04931506849315
treatment_company_1,-16.18,14541,7922.0,2014-07-01,operator_25,6287.0,968.04504,0.51,21,16291,33295.01,0.26,0.03,0.26,,2.54,0.6,11113.49,6783.33,28.7,5847.0,,90,37,10554243.0,0.85,2081.978448,3518,502.57142857142856,9.638356164383561
treatment_company_9,-66.400002,12734,6935.0,2016-06-01,operator_1,5549.0,1762.5278,9.48,11,6031,34582.87,0.62,0.01,0.33,,4.91,0.44,13478.62,6953.4,30.86,,,2,19,9545338.0,1.67,1025.3764,2817,402.42857142857144,7.717808219178083
treatment_company_12,,12427,5359.0,2018-11-01,operator_22,6818.0,2360.1843,19.57,15,0,34784.01,0.54,0.01,0.34,,4.83,0.42,13453.26,6933.44,30.81,4104.0,,100,35,14847728.0,1.09,876.2633795,1934,276.2857142857143,5.298630136986302
treatment_company_12,1.28,12180,6581.0,2014-07-01,operator_25,4581.0,896.22321,36.58,5,0,30823.71,0.65,0.02,0.34,,5.14,0.4,13591.62,6954.28,30.84,4318.0,,89,28,14051449.0,1.24,1719.503341,3518,502.57142857142856,9.638356164383561
treatment_company_8,-33.07,13139,7021.0,2014-01-01,operator_1,5913.0,4055.5796,32.82,3,0,34546.34,0.61,0.02,0.33,,5.06,0.46,13561.04,6970.84,30.88,4365.0,,79,23,,1.09,1072.319511,3699,528.4285714285714,10.134246575342466
treatment_company_12,-23.200001,19466,8988.0,2018-11-01,operator_25,10482.0,4185.5156,6.1,6,4061,30034.49,1.41,0.05,0.24,0.93,4.1,0.6,11974.57,6805.45,27.68,4754.0,,89,59,25893920.0,1.56,4642.388947,1934,276.2857142857143,5.298630136986302
treatment_company_8,-39.209999,13216,6341.0,2017-01-01,operator_26,6333.0,3785.8442,16.84,7,4143,27656.3,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,4482.0,6160.0,98,25,12369844.0,0.95,467.087435,2603,371.85714285714283,7.131506849315069
treatment_company_1,-11.12,13021,6033.0,2016-04-01,operator_11,6738.0,2764.3838,14.6,12,0,34850.7,0.62,,0.33,,4.85,0.46,13479.49,6980.1,30.95,4048.0,,70,28,10978129.0,1.06,758.1048371,2878,411.14285714285717,7.884931506849315
treatment_company_2,-10.84,12095,5907.0,2011-01-01,operator_2,5511.0,947.21307,3.21,15,6596,34748.79,1.19,0.1,0.19,,6.29,0.5,12161.64,7026.79,28.09,4466.0,,82,16,6460784.0,1.39,1202.434749,4795,685.0,13.136986301369863
treatment_company_1,-55.130001,11881,7041.0,2017-03-01,operator_1,4300.0,1779.8655,81.85,8,5519,34636.68,0.49,0.02,0.33,0.86,4.66,0.58,13167.66,7032.46,31.14,5144.0,,99,21,8327928.0,1.25,2325.827378,2544,363.42857142857144,6.96986301369863
treatment_company_3,-17.84,13878,6385.0,2016-05-01,operator_5,6828.0,2975.7158,3.22,8,0,35137.85,0.46,0.02,0.33,0.86,4.66,0.58,13182.1,7047.33,31.18,4452.0,5890.0,74,34,10224970.0,0.89,1647.260447,2848,406.85714285714283,7.802739726027397
treatment_company_12,-17.799999,14350,8961.0,2014-07-01,operator_25,5268.0,981.69714,93.68,11,0,30615.06,1.17,0.06,0.22,,4.08,0.67,11903.69,6800.98,27.32,4732.0,,89,29,14381981.0,1.17,3666.884738,3518,502.57142857142856,9.638356164383561
treatment_company_8,-15.81,11559,6544.0,2014-12-01,operator_4,4765.0,3827.5212,34.14,10,1739,34776.92,0.29,0.02,0.27,,4.69,0.61,13227.81,6976.93,30.99,,,81,18,7427334.0,1.17,539.436705,3365,480.7142857142857,9.219178082191782
treatment_company_2,-34.509998,13373,8496.0,2011-07-01,operator_20,4543.0,4113.8159,2.59,19,9760,34556.0,0.86,0.05,0.28,0.72,4.04,0.51,11741.27,7081.29,31.7,5831.0,,82,11,4999610.0,1.34,1497.412558,4614,659.1428571428571,12.64109589041096
treatment_company_3,-19.93,16792,6398.0,2015-06-01,operator_5,9882.0,,172.2,1,5999,29639.34,0.29,0.02,0.33,0.85,4.69,0.6,13239.05,6971.01,30.97,4594.0,,63,49,10883240.0,0.83,2540.652486,3183,454.7142857142857,8.72054794520548
treatment_company_12,-35.02,13521,7989.0,2015-04-01,operator_27,4907.0,3467.5396,3.54,8,0,28220.68,0.43,0.01,0.33,,4.72,0.57,13599.66,6944.12,30.83,6252.0,,90,16,9280475.0,1.07,1534.320525,3244,463.42857142857144,8.887671232876713
treatment_company_10,-9.1400003,9602,6519.0,2012-02-01,operator_11,2735.0,3961.0837,111.21,3,0,34686.45,0.45,0.02,0.33,,4.72,0.58,13283.0,7021.17,31.08,,6314.0,67,9,,0.98,588.3898114,4399,628.4285714285714,12.052054794520547
treatment_company_8,-25.52,14947,7577.0,2017-01-01,operator_6,7120.0,2553.5623,96.91,3,0,27855.58,0.02,0.01,0.24,,3.13,0.63,11159.05,6793.55,28.15,5885.0,,91,29,11125966.0,1.74,5741.937639,2603,371.85714285714283,7.131506849315069
treatment_company_5,-17.969999,13531,7072.0,2016-09-01,operator_16,6028.0,3465.697,14.99,7,652,35039.79,1.04,0.05,0.34,,3.83,1.62,12590.12,6568.47,29.92,4555.0,,75,16,5199151.0,0.71,1374.034842,2725,389.2857142857143,7.465753424657534
treatment_company_3,-26.58,13594,6649.0,2016-03-01,operator_5,6705.0,662.64197,4.74,10,7201,29933.12,0.52,0.01,0.33,,4.73,0.51,13400.65,6960.89,30.93,4522.0,5234.0,72,33,,0.89,1842.594749,2909,415.57142857142856,7.96986301369863
treatment_company_12,-28.559999,13474,7884.0,2017-06-01,operator_25,5340.0,1017.1553,16.96,12,6524,33442.24,0.53,0.01,0.33,,4.78,0.41,13451.61,6934.0,30.82,4630.0,,86,27,10320291.0,1.38,2795.902594,2452,350.2857142857143,6.717808219178083
treatment_company_5,-24.620001,11206,5511.0,2014-01-01,operator_15,5251.0,904.31476,5.71,6,1051,30671.68,0.43,0.02,0.26,0.85,4.68,0.58,13182.01,7011.47,31.09,2225.0,,92,15,5237694.0,1.39,695.823792,3699,528.4285714285714,10.134246575342466
treatment_company_8,-24.9,11807,7767.0,2015-09-01,operator_26,3340.0,3152.4065,1.09,4,3055,31199.11,0.47,,0.34,0.8,4.66,0.58,13199.38,7044.85,31.17,5740.0,7726.0,88,14,5405191.0,0.96,694.1552417,3091,441.57142857142856,8.468493150684932
treatment_company_12,-26.709999,13578,7085.0,2017-10-01,operator_25,6243.0,2914.2017,40.04,7,5532,31803.97,1.46,0.02,0.24,0.94,4.12,0.37,12300.28,6845.28,28.3,,,97,35,10592295.0,1.27,2015.587568,2330,332.85714285714283,6.383561643835616
treatment_company_9,-20.719999,16435,8122.0,2012-07-01,operator_17,8035.0,4401.0117,13.61,11,0,35165.63,0.02,0.02,0.25,0.97,1.87,0.64,11173.29,6791.1,28.56,5783.0,,76,27,,0.46,1307.905998,4248,606.8571428571429,11.638356164383561
treatment_company_10,-37.209999,15667,6894.0,2017-11-01,operator_4,8270.0,685.91138,14.37,7,5158,27589.48,0.31,0.01,0.33,0.85,4.69,0.61,13250.88,6972.71,30.98,4649.0,,91,41,13519020.0,1.25,2327.256242,2299,328.42857142857144,6.298630136986302
treatment_company_9,-66.629997,10939,6242.0,2012-12-01,operator_13,3884.0,,11.84,7,0,35351.96,0.51,0.01,0.33,0.87,4.74,0.32,13664.56,6920.97,30.74,4582.0,6170.0,81,15,4207985.0,0.77,374.9794312,4095,585.0,11.219178082191782
treatment_company_3,-51.0,13272,6251.0,2017-09-01,operator_8,6655.0,1246.2098,5.91,8,3683,34932.97,0.3,0.02,0.33,0.83,4.66,0.61,13178.24,7013.4,31.11,3841.0,,92,34,,1.41,1772.86068,2360,337.14285714285717,6.465753424657534
treatment_company_3,-36.990002,12583,6540.0,2018-01-01,operator_1,5635.0,844.1153,0.94,10,0,35186.69,0.43,0.02,0.33,,4.72,0.59,13263.02,7033.37,31.11,5247.0,,100,28,11292590.0,1.46,3006.496402,2238,319.7142857142857,6.131506849315069
treatment_company_3,-50.880001,10306,6747.0,2016-12-01,operator_1,3289.0,993.43024,18.09,15,0,34614.25,1.1,,0.29,0.69,4.97,0.44,12290.63,6765.05,28.26,4875.0,6253.0,99,16,6415504.0,1.27,1421.590873,2634,376.2857142857143,7.2164383561643834
treatment_company_10,-39.009998,12089,7010.0,2013-02-01,operator_14,4151.0,4281.6543,0.99,7,0,34559.0,0.43,0.02,0.33,0.83,4.67,0.59,13187.05,7005.78,31.07,4964.0,6440.0,80,24,9062149.0,1.03,5008.133639,4033,576.1428571428571,11.04931506849315
treatment_company_3,-44.869999,16485,6288.0,2015-04-01,operator_8,9829.0,3879.5593,1.01,6,447,28411.17,0.29,0.02,0.33,,4.68,0.63,13203.24,6983.49,31.02,3866.0,6301.0,83,31,18531036.0,1.04,1806.121456,3244,463.42857142857144,8.887671232876713
treatment_company_8,-17.139999,13090,7609.0,2014-07-01,operator_6,5231.0,3717.3142,26.4,11,0,34679.94,0.42,0.05,0.22,,3.5,0.53,11381.72,6802.82,27.87,5949.0,,70,27,923116.0,0.1,4369.212418,3518,502.57142857142856,9.638356164383561
treatment_company_10,-46.610001,16725,8080.0,2018-09-01,operator_4,8359.0,1886.4128,22.65,17,11321,34812.56,0.05,0.03,0.34,,4.63,0.77,13109.57,6900.28,30.81,5598.0,,99,43,19231664.0,1.38,2685.366122,1995,285.0,5.465753424657534
treatment_company_10,-64.650002,10676,6212.0,2015-03-01,operator_11,3693.0,1014.4839,8.52,3,805,34833.35,0.56,0.01,0.34,,4.75,0.4,13457.7,6923.45,30.79,,,70,18,7145773.0,1.11,580.0828363,3275,467.85714285714283,8.972602739726028
treatment_company_10,-38.560001,11537,6046.0,2013-07-01,operator_11,4753.0,,10.53,10,5957,34438.02,0.63,0.01,0.33,,4.82,0.38,13487.06,6926.36,30.79,4137.0,,70,23,10579448.0,1.13,624.3359115,3883,554.7142857142857,10.638356164383561
treatment_company_4,-31.5,19040,6582.0,2018-07-01,operator_5,12076.0,,21.27,14,6371,35007.5,1.29,,0.34,0.48,3.91,1.9,12358.09,6491.03,29.78,4287.0,,78,61,24678232.0,1.13,4525.876657,2057,293.85714285714283,5.635616438356164
treatment_company_16,,20294,6709.0,2015-10-01,operator_4,12073.0,1412.5043,30.65,7,0,34735.75,0.26,,0.33,0.88,4.68,0.61,13239.24,6958.72,30.94,4821.0,,93,67,22615908.0,0.91,2641.927052,3061,437.2857142857143,8.386301369863014
treatment_company_8,-54.639999,13573,8375.0,2015-06-01,operator_26,4772.0,3686.8914,0.8,15,5875,32806.21,0.36,0.03,0.32,,5.42,0.87,13049.65,7129.99,32.29,6287.0,,89,18,6452478.0,0.97,1006.170124,3183,454.7142857142857,8.72054794520548
treatment_company_4,-32.23,14861,6708.0,2018-09-01,operator_8,7699.0,2231.6389,0.44,16,6483,34812.56,1.19,0.05,0.34,,3.8,1.78,12479.36,6545.93,29.89,3918.0,6206.0,95,36,14426403.0,1.42,2666.898878,1995,285.0,5.465753424657534
treatment_company_12,-10.97,13286,9042.0,2014-07-01,operator_9,2886.0,1932.2578,14.7,17,7704,34321.42,0.88,0.05,0.28,0.98,4.27,0.47,11609.62,7062.74,31.54,6237.0,,91,17,4394479.0,1.07,579.7260114,3518,502.57142857142856,9.638356164383561
treatment_company_9,-17.780001,15138,6537.0,2017-12-01,operator_5,8351.0,831.2641,235.06,3,0,34833.35,0.54,0.01,0.34,,4.77,0.42,13442.71,6930.59,30.81,4134.0,,77,41,16645460.0,1.1,2351.324257,2269,324.14285714285717,6.2164383561643834
treatment_company_10,-13.14,12888,7640.0,2013-07-01,operator_14,4276.0,2839.2783,15.23,7,4877,27583.7,0.67,0.01,0.28,,3.41,0.54,11260.89,6774.56,28.99,6099.0,,79,21,7993600.0,1.05,2431.609485,3883,554.7142857142857,10.638356164383561
treatment_company_5,-38.299999,10100,7582.0,2011-07-01,operator_8,2124.0,4092.6882,9.71,8,8614,34634.34,1.24,0.04,0.32,,4.93,0.97,12592.76,7452.02,32.84,5617.0,,86,15,1130000.0,0.39,478.1745175,4614,659.1428571428571,12.64109589041096
treatment_company_1,-47.060001,12760,7007.0,2017-06-01,operator_1,5457.0,965.22162,6.47,12,6463,30777.96,1.2,0.05,0.31,,4.72,0.45,12563.55,6759.34,28.8,4827.0,6626.0,100,26,12057942.0,1.42,2929.769762,2452,350.2857142857143,6.717808219178083
