mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.418273878,0.042340693,0.061043978,0.023924783,squared_error,30,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 200}",0.619949481,0.700618688,0.614083467,0.5732541,0.623774711,0.62633609,0.041311205,24
1.402098751,0.076343343,0.081768656,0.013871427,friedman_mse,,log2,500,"{'criterion': 'friedman_mse', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 500}",0.604521408,0.697538137,0.623523033,0.578751925,0.626416728,0.626150246,0.0395414,25
0.392986012,0.053859825,0.049491596,0.010822419,squared_error,,sqrt,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.619681305,0.699143102,0.614020887,0.573152125,0.623774711,0.625954426,0.040819549,26
2.161959934,0.14967588,0.059358025,0.011381879,absolute_error,,log2,200,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",0.612290799,0.701780161,0.611579419,0.588073907,0.61268623,0.625282103,0.039374094,27
0.395251417,0.07091131,0.048166466,0.012877401,friedman_mse,30,sqrt,200,"{'criterion': 'friedman_mse', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 200}",0.612159076,0.69884388,0.614542601,0.578900096,0.621848817,0.625258894,0.039653401,28
0.881462622,0.146396116,0.044644594,0.008237599,friedman_mse,,sqrt,200,"{'criterion': 'friedman_mse', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.612770772,0.697421409,0.614987657,0.578899127,0.621848817,0.625185556,0.039063307,29
1.14989543,0.066171327,0.132963228,0.081847746,squared_error,30,log2,500,"{'criterion': 'squared_error', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 500}",0.606594668,0.696474571,0.622333746,0.580140004,0.620101668,0.625128931,0.038706096,30
0.375927448,0.059332751,0.05084753,0.005490112,friedman_mse,20,sqrt,200,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.60953581,0.702495784,0.609637479,0.580714071,0.623137368,0.625104102,0.041098427,31
0.337193584,0.036906114,0.067952967,0.016019678,squared_error,20,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.615112623,0.698539405,0.605033715,0.577266121,0.629499841,0.625090341,0.040504785,32
0.967890358,0.064696986,0.084929562,0.011684315,squared_error,,log2,500,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 500}",0.60652925,0.696369308,0.622109734,0.579788737,0.620142629,0.624987932,0.038757585,33
2.38408432,0.111567138,0.036747217,0.005683892,absolute_error,30,log2,200,"{'criterion': 'absolute_error', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 200}",0.612475152,0.699035061,0.608750932,0.587842549,0.615660368,0.624752812,0.03839191,34
0.356312466,0.025715474,0.059755087,0.007320686,squared_error,30,log2,200,"{'criterion': 'squared_error', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 200}",0.607823123,0.699883206,0.621866158,0.579485583,0.613591527,0.62452992,0.040281438,35
1.306413984,0.144834296,0.023891687,0.005843409,absolute_error,30,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 100}",0.611284255,0.688167718,0.612679403,0.587835687,0.62172167,0.624337747,0.033822537,36
0.412717962,0.086256468,0.055882597,0.010369463,squared_error,,log2,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",0.607661726,0.699883206,0.621272042,0.578787145,0.613591527,0.624239129,0.040459596,37
1.102639198,0.070747311,0.036684513,0.004775849,absolute_error,,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.6107652,0.687870777,0.60732849,0.586688381,0.625471727,0.623624915,0.0344273,38
0.372071648,0.04911172,0.057990789,0.021666779,friedman_mse,30,log2,200,"{'criterion': 'friedman_mse', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 200}",0.602675236,0.693950825,0.623218068,0.575695373,0.622097747,0.62352745,0.039202842,39
0.459772825,0.026620147,0.05066843,0.01429944,friedman_mse,,log2,200,"{'criterion': 'friedman_mse', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",0.602789782,0.693950825,0.621142828,0.575373146,0.621971158,0.623045548,0.039281769,40
5.88624835,0.244709982,0.138088036,0.054275358,absolute_error,20,log2,500,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500}",0.609653114,0.693712859,0.618046426,0.578969897,0.611346907,0.62234584,0.038145224,41
0.245636702,0.042829995,0.040441418,0.015668287,friedman_mse,20,log2,100,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",0.617270298,0.695434872,0.609552977,0.587204774,0.601558058,0.622204196,0.037942987,42
0.236510563,0.042199676,0.044259119,0.012919004,squared_error,30,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 100}",0.621515726,0.699700544,0.604442169,0.576475664,0.608763027,0.622179426,0.041456985,43
0.197524118,0.008272055,0.033333254,0.008049049,squared_error,,sqrt,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.621515726,0.699700544,0.604442169,0.576475664,0.608763027,0.622179426,0.041456985,44
0.211786985,0.056864417,0.04359355,0.0176921,squared_error,20,log2,100,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",0.61120647,0.697209499,0.615751302,0.582734356,0.596453155,0.620670957,0.039994039,45
0.467897463,0.179454499,0.080484152,0.102946827,friedman_mse,,sqrt,100,"{'criterion': 'friedman_mse', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.611005346,0.697078287,0.611156664,0.570036082,0.609758236,0.619806923,0.041716355,46
0.29470644,0.085677613,0.049715853,0.026409988,friedman_mse,30,sqrt,100,"{'criterion': 'friedman_mse', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 100}",0.611005346,0.697078287,0.611156664,0.570036082,0.609758236,0.619806923,0.041716355,46
0.254318237,0.071349342,0.058612585,0.018329103,friedman_mse,20,sqrt,100,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.607535454,0.704968757,0.604752501,0.576759115,0.60455334,0.619713833,0.044080619,48
0.242313004,0.031762256,0.057428789,0.032816013,squared_error,30,log2,100,"{'criterion': 'squared_error', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 100}",0.593435033,0.695745111,0.620002426,0.580310017,0.603634211,0.61862536,0.040685882,49
0.189265728,0.038934303,0.056253386,0.027905636,squared_error,,log2,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.593142636,0.695745111,0.620002426,0.580525197,0.603634211,0.618609916,0.040681881,50
0.182737684,0.053171995,0.061126661,0.041705986,friedman_mse,,log2,100,"{'criterion': 'friedman_mse', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.588735931,0.685628287,0.622219952,0.583553136,0.611854937,0.618398448,0.036527615,51
0.24258585,0.047413257,0.044774675,0.006648248,friedman_mse,30,log2,100,"{'criterion': 'friedman_mse', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 100}",0.588486132,0.685628287,0.622219952,0.583275414,0.611854937,0.618292944,0.036621281,52
1.99428544,0.114952909,0.05143261,0.010807368,absolute_error,20,log2,200,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 200}",0.602024732,0.697847565,0.611733192,0.569788361,0.607788086,0.617836387,0.04265824,53
0.086532545,0.011014649,0.03909235,0.017660891,friedman_mse,20,sqrt,50,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 50}",0.609140432,0.700679238,0.606519899,0.581551309,0.590001245,0.617578425,0.042796471,54
1.019043779,0.085817414,0.038241625,0.010327495,absolute_error,,log2,100,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.599767212,0.702814598,0.602364331,0.592363992,0.590464955,0.617555018,0.042859814,55
0.208423376,0.026934915,0.048755026,0.014696898,squared_error,20,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.610955301,0.695712866,0.59220904,0.567936427,0.620405111,0.617443749,0.043045766,56
1.278277206,0.033545694,0.039857388,0.007244198,absolute_error,30,log2,100,"{'criterion': 'absolute_error', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 100}",0.5981334,0.699521979,0.601925826,0.591826823,0.593285494,0.616938704,0.041446602,57
0.105032396,0.006403789,0.02502923,0.003975684,squared_error,,sqrt,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}",0.629483089,0.682679835,0.613470224,0.568108657,0.584424743,0.61563331,0.039810298,58
0.135773945,0.015602757,0.049628115,0.020753858,squared_error,30,sqrt,50,"{'criterion': 'squared_error', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 50}",0.629483089,0.682679835,0.613470224,0.568108657,0.584424743,0.61563331,0.039810298,58
0.11795001,0.013143776,0.036580181,0.007885137,friedman_mse,30,sqrt,50,"{'criterion': 'friedman_mse', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 50}",0.613090508,0.685773379,0.614157805,0.571352656,0.591583001,0.61519147,0.038643214,60
