mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09648523330688477,0.005534016255143372,0.023851394653320312,0.004875512102212715,squared_error,,sqrt,,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'n_estimators': 50}",0.618052141521086,0.6946993246533812,0.5978795236393134,0.5767547308624126,0.5993152830140955,0.6173402007380577,0.040830716108706734,114
0.19328660964965821,0.026089261653391437,0.03991985321044922,0.010356931640258938,squared_error,,sqrt,,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'n_estimators': 100}",0.6110326580050292,0.7022547980299476,0.6081954939386751,0.583819566119588,0.604325148405771,0.6219255328998021,0.04128388975929707,62
0.3979694366455078,0.031621083072586216,0.07787752151489258,0.017551274187976258,squared_error,,sqrt,,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'n_estimators': 200}",0.6103854963854504,0.696502163433393,0.6091206347431394,0.5885492637848069,0.6134384797674342,0.6235992076228447,0.037498829733244365,53
0.8306204319000244,0.06851381582406672,0.10657720565795899,0.006426960139524055,squared_error,,sqrt,,500,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'n_estimators': 500}",0.618156594074309,0.6982484059455039,0.6185070206841581,0.5875283076198752,0.6149998191627084,0.6274880294973109,0.03722230474145536,17
0.11130657196044921,0.026493597138131857,0.041482162475585935,0.010779250570553614,squared_error,,sqrt,0.25,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 50}",0.5484016737363008,0.6251139611136205,0.5774170950605995,0.5201998435952344,0.5472049545996065,0.5636675056210724,0.03566010923599142,334
0.19993834495544432,0.04702277550328841,0.046749019622802736,0.021074140066228153,squared_error,,sqrt,0.25,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 100}",0.5445460523780454,0.6353516972681017,0.5629637910881128,0.5249280416484292,0.5405486045396979,0.5616676373844773,0.038781389381084795,353
0.3168278694152832,0.04020046759281506,0.05543355941772461,0.012977497545024369,squared_error,,sqrt,0.25,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 200}",0.5508982673402565,0.6366298338424057,0.5574357729638488,0.5381390372675185,0.5553509493125586,0.5676907721453176,0.03511502161567453,315
0.659998607635498,0.02165869487879658,0.07987103462219239,0.01564631268943862,squared_error,,sqrt,0.25,500,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 500}",0.5601338535510019,0.636325649347067,0.5608569229455147,0.5444268206705649,0.5575202959935688,0.5718527085015435,0.03277986068985819,298
0.09042763710021973,0.0260681421812672,0.03395047187805176,0.00683457689955479,squared_error,,sqrt,0.5,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 50}",0.598672609786528,0.6463751841720019,0.6007959408411283,0.5777117922170061,0.5859740257315194,0.6019059105496367,0.023783956268167,214
0.17631945610046387,0.033438528789176726,0.03296914100646973,0.00939254819083179,squared_error,,sqrt,0.5,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 100}",0.5868772225342536,0.6621115761881059,0.5955375786362337,0.5806731818078499,0.5734648689751847,0.5997328856283255,0.032022650480286456,227
0.2972546100616455,0.022930222948095377,0.05689678192138672,0.010064996994766276,squared_error,,sqrt,0.5,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 200}",0.6053730281069525,0.6649468542783114,0.5922133845894053,0.5806606461383944,0.5803311450485931,0.6047050116323313,0.03148899325739342,192
0.7376307487487793,0.04960359525972568,0.10336923599243164,0.010870336636387588,squared_error,,sqrt,0.5,500,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 500}",0.6057012431242602,0.6715935589147786,0.6015388408343507,0.5732076544688314,0.5867761366955698,0.6077634868075581,0.03391710950260767,166
0.09181365966796876,0.021719576180839292,0.05971856117248535,0.02297613979657915,squared_error,,sqrt,0.75,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.75, 'n_estimators': 50}",0.6063425052057618,0.6612772136831397,0.6112576354235952,0.6045205803527428,0.5941478695452644,0.6155091608421008,0.023553646731828824,124
0.23328819274902343,0.056505002825940884,0.03620448112487793,0.006920121149526268,squared_error,,sqrt,0.75,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.75, 'n_estimators': 100}",0.6082152255303579,0.6760902625437655,0.6147486276508878,0.6018586597846736,0.5954689049857638,0.6192763360990897,0.029123323207615546,88
0.37249417304992677,0.06028809428482139,0.0728682518005371,0.03145584494346334,squared_error,,sqrt,0.75,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.75, 'n_estimators': 200}",0.608874991051469,0.6836102066280191,0.620572556806022,0.5856564919511604,0.5993605761053116,0.6196149645083964,0.0339855061307513,83
