mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09019193649291993,0.005275914532075515,0.020061445236206055,0.0008447262165647346,squared_error,,sqrt,,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'n_estimators': 50}",0.5951698113630497,0.6960117554466702,0.6129580140148245,0.561419779567418,0.5906385907265876,0.61123959022371,0.04550587980394287,154
0.18302364349365235,0.016213952434681923,0.033025360107421874,0.005223192308698311,squared_error,,sqrt,,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'n_estimators': 100}",0.607697029367408,0.6899459143860724,0.6267539992055149,0.5702150237597363,0.6093678299020001,0.6207959593241463,0.03918629779646513,105
0.38259124755859375,0.035709398368228264,0.0668935775756836,0.02739621185461976,squared_error,,sqrt,,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'n_estimators': 200}",0.6146333688547809,0.6988370388703855,0.623927914883402,0.5798747483667044,0.6112555464909961,0.6257057234932539,0.039454360534495664,64
0.7613320827484131,0.09048566402316281,0.08583955764770508,0.017584493845194202,squared_error,,sqrt,,500,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'n_estimators': 500}",0.6178028606346772,0.6978964795818607,0.6272273967255353,0.5886074551218754,0.6154931345839696,0.6294054653295836,0.03657434629775208,35
0.09590382575988769,0.011074273759466048,0.04288339614868164,0.019693484233869882,squared_error,,sqrt,0.25,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 50}",0.5798343194847561,0.6170946321723576,0.5600512887020163,0.5317139791572669,0.5487239597716381,0.567483635857607,0.02932720209277387,313
0.16985278129577636,0.027158855258245077,0.05030660629272461,0.01774901433167374,squared_error,,sqrt,0.25,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 100}",0.5568372353358189,0.6221125566365828,0.5521885094090215,0.5317871045464392,0.5507676699817396,0.5627386151819204,0.030895616127124072,337
0.310964298248291,0.042573755696770826,0.05206022262573242,0.020351535923647256,squared_error,,sqrt,0.25,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 200}",0.5599806972548362,0.6180373518521859,0.5565848361111607,0.5315281656883148,0.5585195339866414,0.5649301169786278,0.02853525815047769,325
0.7605243682861328,0.1473193080255076,0.09184021949768066,0.023479287023014855,squared_error,,sqrt,0.25,500,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 500}",0.5650293397548466,0.6307214298344279,0.5691998587364697,0.5388339132746309,0.5551196042909419,0.5717808291782633,0.03127086217510581,297
0.10011181831359864,0.019020970588772664,0.04099979400634766,0.013452900686952344,squared_error,,sqrt,0.5,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 50}",0.6123253042217328,0.6470750013792155,0.6091848106005802,0.5706110410641538,0.5781794433984149,0.6034751201328195,0.027319571456478342,214
0.16502985954284669,0.021680685219801644,0.05033159255981445,0.03355038313866997,squared_error,,sqrt,0.5,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 100}",0.6092139769498299,0.6662956452115498,0.6018847046882816,0.5599409763252992,0.5874158575540539,0.6049502321458029,0.03499749729450128,198
0.31481184959411623,0.07171847254206745,0.08563199043273925,0.046526914418878344,squared_error,,sqrt,0.5,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 200}",0.6054714182639134,0.6683514601092022,0.6112635491916163,0.5626354541488812,0.5828407927424237,0.6061125348912073,0.03558780219023982,195
0.7036495685577393,0.05674223129536133,0.09023928642272949,0.017613022030350364,squared_error,,sqrt,0.5,500,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'n_estimators': 500}",0.6035807531049896,0.6741149907980636,0.6085748804208206,0.5710080480028344,0.5969102411436833,0.6108377826940783,0.034182376891618106,160
0.10687918663024902,0.01912373449568517,0.03632950782775879,0.023361742424148877,squared_error,,sqrt,0.75,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.75, 'n_estimators': 50}",0.6056457837318729,0.6685189203161537,0.6043257597457223,0.5677052031020429,0.5999897208962401,0.6092370775584064,0.03274680294580346,167
0.17347159385681152,0.017414387576018635,0.051623964309692384,0.017807571248119942,squared_error,,sqrt,0.75,100,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.75, 'n_estimators': 100}",0.5891145248946921,0.6794147123826139,0.619091591517243,0.5914842006181775,0.5969294664006073,0.6152068991626667,0.03380939834638203,132
0.3322751045227051,0.047507137965436964,0.06253180503845215,0.01557761165359416,squared_error,,sqrt,0.75,200,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.75, 'n_estimators': 200}",0.6003558523212001,0.6889440653688885,0.6259167042848449,0.5847454487298851,0.6023382475568174,0.6204600636523272,0.036682275471979206,107
